,accident_severity
49685,3
66084,3
45453,2
82737,3
72406,3
17097,2
41838,2
75089,3
12508,3
70622,3
72851,2
77344,1
30686,3
23627,3
53187,3
6739,3
43110,3
7616,2
8023,3
22682,2
76654,2
12570,1
34915,3
9720,2
60944,3
3021,3
10179,3
4404,2
56323,3
67722,3
60512,3
53975,3
65548,3
22351,3
7177,2
61183,3
55079,3
81718,3
92071,3
73932,2
70765,3
34252,3
76123,3
24484,3
65144,3
86391,3
76873,2
70493,2
12958,3
84305,3
88251,3
83709,3
65641,2
43767,2
53204,3
55976,3
78953,2
25689,3
22515,3
7592,2
44682,3
53587,3
90338,3
71046,3
14253,2
57957,3
22532,3
79865,3
88995,2
57780,3
50056,3
38341,3
29463,3
75046,2
53657,3
53225,3
67078,3
63319,1
11458,3
40634,3
41414,3
54955,3
87478,3
42458,3
10113,3
10630,2
23137,3
55921,3
31059,3
47587,3
74672,2
20345,2
24231,3
58174,3
8465,2
54760,3
38027,3
40166,1
91293,1
36663,3
16008,3
22506,3
78060,3
67561,3
17869,3
27433,3
51358,3
49032,3
7209,2
76941,3
82726,3
13484,3
4790,2
56311,2
41068,3
62675,3
49791,2
51349,3
12355,3
51130,2
13954,3
17923,3
1034,3
70634,3
38936,2
16769,2
49958,2
78246,3
15208,3
52301,3
20663,3
261,3
46421,3
20518,3
56427,3
50989,3
70294,3
69611,3
47750,3
20172,3
19574,3
72158,3
39628,3
31945,3
77600,2
33206,3
2803,3
12480,2
86865,2
56370,3
25770,2
30833,3
506,3
3077,3
960,3
30953,1
18427,2
29551,3
17067,3
39744,3
53418,3
76307,3
20362,3
21558,3
56762,3
87009,3
19660,3
11812,3
52965,3
13309,3
62236,3
58314,3
38363,3
82642,3
46438,3
73869,3
27184,3
11466,3
84049,3
40371,3
65257,3
43692,3
20238,3
49248,3
34970,3
67034,3
78747,3
34071,3
24342,3
75151,3
57289,3
30349,2
842,3
36917,3
29534,3
68787,2
66034,1
76379,3
54417,3
73941,2
40119,3
40616,3
79143,3
42253,2
27772,3
1991,3
52867,3
47332,2
82826,3
89390,3
75185,2
81885,3
25175,3
69970,2
27596,3
57082,2
60571,3
10152,3
69642,3
4805,3
71141,3
3075,3
83368,1
69593,3
35955,3
29068,3
11576,3
39439,3
11413,3
25405,2
7256,2
25894,3
48480,3
53049,2
65941,2
13972,2
64729,2
64625,3
91858,3
45611,3
21579,3
57129,2
61553,3
71128,3
14180,2
49280,3
673,3
32240,3
49532,3
87151,3
84309,3
86327,2
11685,3
45981,3
77285,2
66702,3
51895,2
81987,3
69981,3
62321,2
64129,3
17914,2
61848,2
7052,3
78528,3
37923,3
85974,2
30577,2
19392,3
42897,1
42418,3
34689,3
42767,3
69701,3
36428,3
23190,3
676,3
85771,3
13321,1
7761,3
2476,3
35054,3
90933,3
36987,3
31733,3
71211,3
54231,3
